__lineyka_row_id,incident_reports,population_density,response_time_minutes,community_alerts,critical_infrastructure,intelligence_score,weather_index,public_sentiment,special_events,alert_level
102,82,1350,10.4,25,7,0.44,2.38,0.51,1,Высокий
103,12,3893,15.8,34,9,0.24,0.57,0.65,0,Низкий
104,92,3010,14.4,18,7,0.61,2.21,0.53,1,Средний
105,74,1697,4.9,45,6,0.73,-0.26,0.26,0,Высокий
106,23,2120,17.4,12,10,0.91,1.09,0.35,1,Средний
107,49,3284,13.7,31,10,0.94,-0.53,0.61,0,Средний
108,36,3655,11.1,13,4,0.41,1.66,0.52,1,Низкий
109,46,4560,4.5,51,7,0.83,0.82,0.68,0,Средний
110,69,3406,10.8,26,9,0.54,-0.21,0.37,1,Высокий
111,42,3542,9.5,59,9,0.23,1.48,0.71,0,Средний
112,61,3918,14.8,46,5,0.57,-1.35,0.58,1,Средний
113,54,4762,5.8,59,10,0.27,2.14,0.26,0,Высокий
114,64,4767,13.0,14,4,0.55,2.38,0.47,1,Средний
115,62,3861,5.5,26,9,0.92,1.01,0.83,0,Высокий
116,81,1347,12.5,20,7,0.95,1.49,0.53,0,Средний
117,93,4083,15.8,33,5,0.72,2.11,0.28,0,Средний
118,49,2668,9.4,14,6,0.6,0.76,0.77,0,Низкий
119,34,1523,12.4,29,6,0.57,0.83,0.4,1,Средний
120,44,3082,7.8,5,10,0.88,1.21,0.35,0,Средний
121,56,3606,8.4,32,7,0.54,-0.29,0.9,0,Средний
122,25,2171,9.5,27,7,0.94,-0.32,0.89,1,Средний
123,62,2324,4.6,60,3,0.88,1.48,0.79,0,Средний
124,41,3686,14.9,19,6,0.67,1.21,0.72,1,Низкий
125,29,3773,5.8,45,3,0.43,0.26,0.63,1,Низкий
126,28,1569,16.3,25,9,0.33,-0.97,0.6,0,Низкий
127,79,3255,16.4,58,5,0.39,1.8,0.56,0,Средний
128,55,4494,6.0,9,5,0.77,-0.6,0.69,1,Средний
129,62,4664,15.0,28,4,0.79,-1.44,0.6,0,Низкий
130,59,3955,14.2,21,9,0.82,2.26,0.32,0,Средний
131,72,1302,12.6,40,8,0.89,-0.61,0.29,0,Средний
132,50,3859,9.8,13,3,0.91,-0.28,0.57,0,Низкий
133,42,3401,6.3,34,8,0.7,1.47,0.86,0,Средний
134,87,4240,13.9,31,4,0.83,0.96,0.86,0,Средний
135,16,4027,9.3,33,10,0.91,1.92,0.31,1,Средний
136,59,3430,16.2,46,8,0.25,-0.4,0.88,0,Средний
137,23,3914,7.3,45,3,0.24,-0.17,0.89,1,Низкий
138,38,1481,15.3,40,6,0.64,1.75,0.4,0,Низкий
139,88,1211,8.1,14,5,0.61,1.69,0.32,0,Средний
140,28,1260,9.2,55,6,0.64,-1.44,0.42,0,Средний
141,65,3354,6.0,9,10,0.54,-0.05,0.64,0,Средний
142,76,2107,16.8,7,7,0.54,2.36,0.29,0,Средний
143,63,2946,13.4,36,10,0.26,-1.18,0.65,0,Средний
144,28,2326,12.6,42,8,0.49,0.89,0.44,1,Средний
145,89,2962,5.8,49,4,0.84,1.1,0.75,1,Высокий
146,39,2961,10.4,19,9,0.45,0.31,0.52,0,Средний
147,52,2948,8.6,21,8,0.92,1.25,0.56,0,Средний
148,22,1581,10.1,52,8,0.81,0.73,0.63,1,Средний
149,83,2550,13.2,31,8,0.86,2.26,0.52,1,Высокий
150,18,2378,12.3,27,4,0.63,-0.65,0.68,0,Низкий
151,25,2634,15.5,28,4,0.77,0.8,0.77,1,Низкий
152,91,3713,13.3,40,3,0.66,1.13,0.7,0,Средний
153,35,2319,13.6,24,8,0.46,-0.77,0.34,1,Средний
154,63,1485,6.3,45,3,0.27,0.62,0.49,0,Средний
155,55,1844,9.3,51,8,0.78,0.77,0.31,0,Средний
156,31,1844,14.3,8,4,0.4,1.15,0.57,0,Низкий
157,65,2318,7.3,37,4,0.46,-1.06,0.69,1,Средний
158,74,3358,13.2,7,6,0.5,0.9,0.25,0,Средний
159,39,4343,6.3,21,7,0.45,-1.47,0.74,0,Средний
160,28,2757,11.4,19,8,0.25,1.95,0.28,0,Низкий
